Ticker,Label,Price,P/E,Growth,ROE,PEG,Score
CZNC,Neutral,20.21,11.5,5.1%,9.5%,2.26,31.6
HBIA,Neutral,80.0,12.5,5.1%,11.1%,2.45,31.5
PLTK,Neutral,3.975,16.6,8.7%,0.0%,1.9,26.3
AGGI,🚀 CHEAP GROWTH (PEG < 1),0.0112,5.6,40876.6%,0.0%,0.0,364969.7
LEGH,⚠️ EXPENSIVE (High PEG),19.745,10.1,-8.6%,9.6%,99.0,10.1
M,⚠️ EXPENSIVE (High PEG),21.5947,12.3,-1.9%,11.3%,99.0,11.8
GBCI,Neutral,43.05,21.0,21.9%,6.9%,0.96,59.1
AX,⚠️ EXPENSIVE (High PEG),82.885,11.1,-0.2%,16.7%,99.0,17.2
REX,⚠️ EXPENSIVE (High PEG),32.44,21.9,7.0%,10.3%,3.13,26.3
BMI,Neutral,183.11,39.0,13.1%,21.5%,2.98,38.2
HLF,🚬 DEEP VALUE (Low P/E),11.86,3.8,2.7%,0.0%,1.4,35.6
RCMT,💎 ELITE (Quality + Cheap Growth),19.65,11.5,16.4%,36.7%,0.7,108.0
CMP,⚠️ EXPENSIVE (High PEG),18.2896,100.0,-25.0%,17.0%,99.0,17.5
SEVN,🚬 DEEP VALUE (Low P/E),8.8,8.5,2.0%,5.8%,4.23,17.6
FPI,⚠️ EXPENSIVE (High PEG),9.72,7.7,-15.1%,12.0%,99.0,12.5
AMTB,🚀 CHEAP GROWTH (PEG < 1),18.73,10.9,576.5%,7.2%,0.02,2654.2
CLMB,💎 ELITE (Quality + Cheap Growth),98.419,21.2,35.2%,21.7%,0.6,104.8
GGT,💎 ELITE (Quality + Cheap Growth),4.03,3.3,10.8%,21.3%,0.3,186.1
IVR,🚀 CHEAP GROWTH (PEG < 1),7.8945,16.4,27.8%,6.6%,0.59,91.1
PLX,⚠️ EXPENSIVE (High PEG),1.725,21.6,-0.6%,12.6%,99.0,13.1
SPNT,Neutral,20.82,12.7,9.6%,8.1%,1.32,45.9
EXLS,Neutral,39.77,26.9,12.2%,26.0%,2.2,48.7
UTF,⚠️ EXPENSIVE (High PEG),24.0124,5.1,0.0%,12.2%,99.0,12.7
BORR,🚀 CHEAP GROWTH (PEG < 1),3.22,11.5,14.7%,6.8%,0.78,70.7
HDSN,🚀 CHEAP GROWTH (PEG < 1),6.74,13.2,19.5%,8.7%,0.68,82.5
WTBA,🚀 CHEAP GROWTH (PEG < 1),22.275,11.7,23.1%,13.1%,0.51,111.7
KALU,Neutral,96.44,18.7,12.8%,11.6%,1.46,45.8
CZFS,🚀 CHEAP GROWTH (PEG < 1),56.485,8.0,12.7%,10.9%,0.63,90.7
STC,Neutral,77.615,21.6,19.3%,8.0%,1.12,52.8
PCB,🚀 CHEAP GROWTH (PEG < 1),22.05,9.1,21.7%,9.4%,0.42,128.0
ORMP,⚠️ EXPENSIVE (High PEG),2.56,2.6,0.0%,24.5%,99.0,25.0
JMSB,🚀 CHEAP GROWTH (PEG < 1),20.2,14.4,18.9%,8.0%,0.76,73.5
MDXG,🚀 CHEAP GROWTH (PEG < 1),6.875,25.5,35.3%,19.4%,0.72,88.8
GNTX,Neutral,22.75,13.5,7.7%,15.4%,1.75,44.0
CENT,⚠️ EXPENSIVE (High PEG),34.42,15.8,1.3%,10.4%,12.15,14.6
AGRI,🚀 CHEAP GROWTH (PEG < 1),2.33,0.0,993.9%,-201.8%,0.0,45210946.4
UMBF,🚀 CHEAP GROWTH (PEG < 1),113.22,12.6,69.6%,11.1%,0.18,286.5
PRDO,🚀 CHEAP GROWTH (PEG < 1),28.125,12.1,24.8%,16.1%,0.49,118.9
BY,🚀 CHEAP GROWTH (PEG < 1),28.19,10.1,17.0%,10.8%,0.59,95.2
JHG,Neutral,43.16,12.7,12.1%,11.2%,1.05,58.7
PLAB,⚠️ EXPENSIVE (High PEG),22.32,12.6,-0.3%,10.3%,99.0,10.8
HAFC,🚀 CHEAP GROWTH (PEG < 1),28.0,11.7,22.4%,9.6%,0.52,105.6
FSM,🚀 CHEAP GROWTH (PEG < 1),9.235,11.0,38.3%,17.9%,0.29,192.1
SLM,💎 ELITE (Quality + Cheap Growth),28.82,9.9,225.6%,27.9%,0.04,1162.9
FLO,⚠️ EXPENSIVE (High PEG),10.705,11.8,0.0%,13.7%,99.0,14.2
CVI,⚠️ EXPENSIVE (High PEG),33.79,20.5,6.1%,25.9%,3.36,40.8
